id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,prerequisite_skills,panache,betrayal,targeting,esoteric,stare,weapon_mastery,item_mastery
450,Greater Rending Fury,Combat,"When your claws latch on to an opponent, the effect is bloody and horrific.","Improved Rending Fury, Rending Fury, base attack bonus +12, rend special attack.","Improved Rending Fury, Rending Fury","Whenever you rend an opponent, you deal 1d6 bleed damage to that opponent. This is an addition to the effects of the rend.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Rending Fury (Combat)</p><div style=""clear: both;""></div></div><div><h5>When your claws latch on to an opponent, the effect is bloody and horrific.<h5><b>Prerequisites: </b>Improved Rending Fury, Rending Fury, base attack bonus +12, rend special attack.</h5><h5><b>Benefit: </b>Whenever you rend an opponent, you deal 1d6 bleed damage to that opponent. This is an addition to the effects of the rend.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
451,Greater Snap Shot,Combat,"You can prey on any gap in your foe's guard with impunity, and with even greater range.","Dex 17, Improved Snap Shot, Point-Blank Shot, Rapid Shot, Snap Shot, base attack bonus +12.","Improved Snap Shot, Point-Blank Shot, Rapid Shot, Snap Shot","Whenever you make an attack of opportunity using a ranged weapon and hit, you gain a +2 bonus on the damage roll and a +2 bonus on rolls to confirm a critical hit with that attack. These bonuses increase to +4 when you have base attack bonus +16, and to +6 when you have base attack bonus +20.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Snap Shot (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can prey on any gap in your foe's guard with impunity, and with even greater range.<h5><b>Prerequisites: </b>Dex 17, Improved Snap Shot, Point-Blank Shot, Rapid Shot, Snap Shot, base attack bonus +12.</h5><h5><b>Benefit: </b>Whenever you make an attack of opportunity using a ranged weapon and hit, you gain a +2 bonus on the damage roll and a +2 bonus on rolls to confirm a critical hit with that attack. These bonuses increase to +4 when you have base attack bonus +16, and to +6 when you have base attack bonus +20.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
452,Greater Whip Mastery,Combat,You can use a whip to make combat maneuvers with ease.,"Improved Whip Mastery, Weapon Focus (whip), Whip Mastery, base attack bonus +8.","Improved Whip Mastery, Weapon Focus (whip), Whip Mastery","You are so quick with your whip that you never drop it due to a failed disarm or trip combat maneuver attempt. Further, you gain the ability to grapple using your whip. To do so, use the normal grapple rules with the following changes. Attack: You cannot use your whip to attack while you are using it to grapple an opponent. Damage: When dealing damage to your grappled opponent, you deal your whip's weapon damage rather than your unarmed strike damage. Free Hands: You take no penalty on your combat maneuver check for having fewer than two hands free when you use your whip to grapple. Reach: Rather than pulling your grappled opponent adjacent to you when you successfully grapple and when you move the grapple, you must keep him within your whip's reach minus his own reach to maintain the grapple. If the difference in reach is less than 0, such as is the case for a Medium whip wielder and a Gargantuan creature, you cannot grapple that opponent with your whip. If you have to pull a creature adjacent to you to grapple it with your whip, you still provoke an attack of opportunity from that opponent unless you have the Improved Grapple feat. Tie Up: While adjacent to your opponent, you can attempt to use your whip to tie him up. If you do so to an opponent you have grappled rather than pinned, you take only a -5 penalty on the combat maneuver check rather than the normal -10.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Whip Mastery (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can use a whip to make combat maneuvers with ease.<h5><b>Prerequisites: </b>Improved Whip Mastery, Weapon Focus (whip), Whip Mastery, base attack bonus +8.</h5><h5><b>Benefit: </b>You are so quick with your whip that you never drop it due to a failed disarm or trip combat maneuver attempt. Further, you gain the ability to grapple using your whip. To do so, use the normal grapple rules with the following changes. <br><i>Attack</i>: You cannot use your whip to attack while you are using it to grapple an opponent. <br><i>Damage</i>: When dealing damage to your grappled opponent, you deal your whip's weapon damage rather than your unarmed strike damage. <br><i>Free Hands</i>: You take no penalty on your combat maneuver check for having fewer than two hands free when you use your whip to grapple. <br><i>Reach</i>: Rather than pulling your grappled opponent adjacent to you when you successfully grapple and when you move the grapple, you must keep him within your whip's reach minus his own reach to maintain the grapple. If the difference in reach is less than 0, such as is the case for a Medium whip wielder and a Gargantuan creature, you cannot grapple that opponent with your whip. If you have to pull a creature adjacent to you to grapple it with your whip, you still provoke an attack of opportunity from that opponent unless you have the Improved Grapple feat. <br><i>Tie Up</i>: While adjacent to your opponent, you can attempt to use your whip to tie him up. If you do so to an opponent you have grappled rather than pinned, you take only a -5 penalty on the combat maneuver check rather than the normal -10.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
453,Guided Hand,General,Your deity blesses any strike you make with that deity's favored weapon.,"Channel energy class feature, Channel Smite, proficiency with your deity's favored weapon.",Channel Smite,"With your deity's favored weapon, you can use your Wisdom modifier instead of your Strength or Dexterity modifier on attack rolls.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Guided Hand</p><div style=""clear: both;""></div></div><div><h5>Your deity blesses any strike you make with that deity's favored weapon.<h5><b>Prerequisites: </b>Channel energy class feature, Channel Smite, proficiency with your deity's favored weapon.</h5><h5><b>Benefit: </b>With your deity's favored weapon, you can use your Wisdom modifier instead of your Strength or Dexterity modifier on attack rolls.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
454,Gunsmithing,General,You know the secrets of repairing and restoring firearms.,,,"If you have access to a gunsmith's kit, you can create and restore firearms, craft bullets, and mix black powder for all types of firearms. You do not need to make a Craft check to create firearms and ammunition or to restore firearms. Crafting Firearms: You can craft any early firearm for a cost in raw materials equal to half the price of the firearm. At your GM's discretion, you can craft advanced firearms for a cost in raw materials equal to half the price of the firearm. Crafting a firearm in this way takes 1 day of work for every 1,000 gp of the firearm's price (minimum 1 day). Crafting Ammunition: You can craft bullets, pellets, and black powder for a cost in raw materials equal to 10% of the price. If you have at least 1 rank in Craft (alchemy), you can craft alchemical cartridges for a cost in raw materials equal to half the price of the cartridge. At your GM's discretion, you can craft metal cartridges for a cost in raw materials equal to half the cost of the cartridge. Crafting bullets, black powder, or cartridges takes 1 day of work for every 1,000 gp of ammunition (minimum 1 day). Restoring a Broken Firearm: Each day, with an hour's worth of work, you can use this feat to repair a single firearm with the broken condition. You can take time during a rest period to restore a broken firearm with this feat.",,"If you are a gunslinger, this feat grants the following additional benefit. You can use this feat to repair and restore your initial, battered weapon. It costs 300 gp and 1 day of work to upgrade it to a masterwork firearm of its type.",Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Gunsmithing</p><div style=""clear: both;""></div></div><div><h5>You know the secrets of repairing and restoring firearms.<h5><b>Benefit: </b>If you have access to a gunsmith's kit, you can create and restore firearms, craft bullets, and mix black powder for all types of firearms. You do not need to make a Craft check to create firearms and ammunition or to restore firearms. <br><i>Crafting Firearms</i>: You can craft any early firearm for a cost in raw materials equal to half the price of the firearm. At your GM's discretion, you can craft advanced firearms for a cost in raw materials equal to half the price of the firearm. Crafting a firearm in this way takes 1 day of work for every 1,000 gp of the firearm's price (minimum 1 day). <br><i>Crafting Ammunition</i>: You can craft bullets, pellets, and black powder for a cost in raw materials equal to 10% of the price. If you have at least 1 rank in Craft (alchemy), you can craft alchemical cartridges for a cost in raw materials equal to half the price of the cartridge. At your GM's discretion, you can craft metal cartridges for a cost in raw materials equal to half the cost of the cartridge. Crafting bullets, black powder, or cartridges takes 1 day of work for every 1,000 gp of ammunition (minimum 1 day). <br><i>Restoring a Broken Firearm</i>: Each day, with an hour's worth of work, you can use this feat to repair a single firearm with the broken condition. You can take time during a rest period to restore a broken firearm with this feat.</h5><h5><b>Special: </b>If you are a gunslinger, this feat grants the following additional benefit. You can use this feat to repair and restore your initial, battered weapon. It costs 300 gp and 1 day of work to upgrade it to a masterwork firearm of its type.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
455,Hammer the Gap,Combat,"You repeatedly strike the same location, causing increasing amounts of damage.",Base attack bonus +6.,,"When you take a full-attack action, each consecutive hit against the same opponent deals extra damage equal to the number of previous consecutive hits you have made against that opponent this turn. This damage is multiplied on a critical hit.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hammer the Gap (Combat)</p><div style=""clear: both;""></div></div><div><h5>You repeatedly strike the same location, causing increasing amounts of damage.<h5><b>Prerequisites: </b>Base attack bonus +6.</h5><h5><b>Benefit: </b>When you take a full-attack action, each consecutive hit against the same opponent deals extra damage equal to the number of previous consecutive hits you have made against that opponent this turn. This damage is multiplied on a critical hit.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
456,Harmonic Sage,General,Your thorough understanding of acoustics in artificial surroundings allows you to improve the power of your bardic performance.,"Bardic performance class feature, Knowledge (engineering) 5 ranks.",,"While inside an artif icial structure, you can spend a free action to make a DC 15 Knowledge (engineering) check when you begin your bardic performance. Success on this check allows you to do one of the following. Self-Harmonize: By performing over the acoustic reverberations of your performance, you increase the DC of your bardic performance effects +1. Reverberation: You can choose to have the effect of your current bardic performance continue for 1 round after you cease maintaining it, regardless of why you cease maintaining it. You can still have no more than one bardic performance in effect at one time.",A bardic performance lasts only as long as you maintain it.,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Harmonic Sage</p><div style=""clear: both;""></div></div><div><h5>Your thorough understanding of acoustics in artificial surroundings allows you to improve the power of your bardic performance.<h5><b>Prerequisites: </b>Bardic performance class feature, Knowledge (engineering) 5 ranks.</h5><h5><b>Benefit: </b>While inside an artif icial structure, you can spend a free action to make a DC 15 Knowledge (engineering) check when you begin your bardic performance. Success on this check allows you to do one of the following. <br><i>Self-Harmonize</i>: By performing over the acoustic reverberations of your performance, you increase the DC of your bardic performance effects +1. <br><i>Reverberation</i>: You can choose to have the effect of your current bardic performance continue for 1 round after you cease maintaining it, regardless of why you cease maintaining it. You can still have no more than one bardic performance in effect at one time.</h5><h5><b>Normal: </b>A bardic performance lasts only as long as you maintain it.</h5></div>",0,0,0,0,0,0,0,,,,,0,,Knowledge (engineering) 5,0,0,0,0,0,0,0
457,Haunted Gnome,Combat,You use your gnome magic to take on an eerie illusory appearance.,"Cha 13, gnome magic racial trait, Knowledge (arcana) 1 rank.",,"You add haunted fey aspect (page 230) to your list of gnome magic spell-like abilities, and you can use this spell-like ability twice per day.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Haunted Gnome (Combat)</p><div style=""clear: both;""></div></div><div><h5>You use your gnome magic to take on an eerie illusory appearance.<h5><b>Prerequisites: </b>Cha 13, gnome magic racial trait, Knowledge (arcana) 1 rank.</h5><h5><b>Benefit: </b>You add <i>haunted fey aspect</i> (page 230) to your list of gnome magic spell-like abilities, and you can use this spell-like ability twice per day.</h5></div>",0,0,0,0,0,0,0,,,,,0,,Knowledge (arcana) 1,0,0,0,0,0,0,0
458,Haunted Gnome Assault,Combat,"Discharging your disturbing glamer as you strike a telling blow, you haunt a foe with lingering fear.","Cha 13, gnome magic racial trait, Haunted Gnome, Knowledge (arcana) 3 ranks.",Haunted Gnome,"You gain one use of your gnome magic that is independent of your gnome magic spell-like abilities. When you wish to cast a gnome magic spell-like ability for which you have no daily uses remaining, you can expend this independent use to do so. Further, while you are under the effect of haunted fey aspect (page 230), you can discharge that spell as a free action after you hit an opponent with a charge attack or score a critical hit against an opponent. If you do, that opponent becomes shaken for 1 round.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Haunted Gnome Assault (Combat)</p><div style=""clear: both;""></div></div><div><h5>Discharging your disturbing glamer as you strike a telling blow, you haunt a foe with lingering fear.<h5><b>Prerequisites: </b>Cha 13, gnome magic racial trait, Haunted Gnome, Knowledge (arcana) 3 ranks.</h5><h5><b>Benefit: </b>You gain one use of your gnome magic that is independent of your gnome magic spell-like abilities. When you wish to cast a gnome magic spell-like ability for which you have no daily uses remaining, you can expend this independent use to do so. Further, while you are under the effect of <i>haunted fey aspect</i> (page 230), you can discharge that spell as a free action after you hit an opponent with a charge attack or score a critical hit against an opponent. If you do, that opponent becomes shaken for 1 round.</h5></div>",0,0,0,0,0,1,0,Gnome,,,,0,,Knowledge (arcana) 3,0,0,0,0,0,0,0
459,Haunted Gnome Shroud,Combat,Your disturbing glamer expands to make your exact location hard to pinpoint.,"Cha 13, gnome magic racial trait, Haunted Gnome, Haunted Gnome Assault, Knowledge (arcana) 6 ranks.","Haunted Gnome, Haunted Gnome Assault","You gain another independent use of your gnome magic like that which Haunted Gnome Assault grants. Further, while you are under the effect of haunted fey aspect, you also have concealment (20% miss chance) against an opponent until that opponent deals you damage.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Haunted Gnome Shroud (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your disturbing glamer expands to make your exact location hard to pinpoint.<h5><b>Prerequisites: </b>Cha 13, gnome magic racial trait, Haunted Gnome, Haunted Gnome Assault, Knowledge (arcana) 6 ranks.</h5><h5><b>Benefit: </b>You gain another independent use of your gnome magic like that which Haunted Gnome Assault grants. Further, while you are under the effect of <i>haunted fey aspect</i>, you also have concealment (20% miss chance) against an opponent until that opponent deals you damage.</h5></div>",0,0,0,0,0,1,0,Gnome,,,,0,,Knowledge (arcana) 6,0,0,0,0,0,0,0
460,Hero's Display,Combat,"With a dramatic flourish you display your weapons to the crowd. Onlookers are elated, and your enemies are demoralized.","Dazzling Display, Weapon Focus, and proficiency with the selected weapon.","Dazzling Display, Weapon Focus","When you spend a swift action to make a performance combat check, you present the weapon in which you have Weapon Focus in a triumphant display. You gain a +2 bonus on the performance combat check and make an Intimidate check to demoralize all foes within 30 feet who can see your display.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hero's Display (Combat, Performance)</p><div style=""clear: both;""></div></div><div><h5>With a dramatic flourish you display your weapons to the crowd. Onlookers are elated, and your enemies are demoralized.<h5><b>Prerequisites: </b>Dazzling Display, Weapon Focus, and proficiency with the selected weapon.</h5><h5><b>Benefit: </b>When you spend a swift action to make a performance combat check, you present the weapon in which you have Weapon Focus in a triumphant display. You gain a +2 bonus on the performance combat check and make an Intimidate check to demoralize all foes within 30 feet who can see your display.</h5></div>",0,0,0,0,1,0,0,,,,,0,,,0,0,0,0,0,0,0
461,Hex Strike,Combat,"Chanting and cursing, you put a hex on your enemy as part of your unarmed strike.","Hex class feature, Improved Unarmed Strike.",Improved Unarmed Strike,"When you gain this feat, choose one hex that you can use to affect no more than one opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can use a swift action to deliver the effects of the chosen hex to that opponent. Doing so does not provoke attacks of opportunity.",,"You can take this feat multiple times. Each time you take it, you apply it to a different qualifying hex.",Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hex Strike (Combat)</p><div style=""clear: both;""></div></div><div><h5>Chanting and cursing, you put a hex on your enemy as part of your unarmed strike.<h5><b>Prerequisites: </b>Hex class feature, Improved Unarmed Strike.</h5><h5><b>Benefit: </b>When you gain this feat, choose one hex that you can use to affect no more than one opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can use a swift action to deliver the effects of the chosen hex to that opponent. Doing so does not provoke attacks of opportunity.</h5><h5><b>Special: </b>You can take this feat multiple times. Each time you take it, you apply it to a different qualifying hex.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0
462,Horse Master,Combat,You blend horsemanship skills from disparate traditions into a seamless mounted combat technique.,"Expert trainer class feature (Advanced Player's Guide 33), Ride 6 ranks.",,Use your character level to determine your effective druid level for determining the powers and abilities of your mount.,You use your cavalier level to determine your effective druid level for determining the powers and abilities of your mount.,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Horse Master (Combat)</p><div style=""clear: both;""></div></div><div><h5>You blend horsemanship skills from disparate traditions into a seamless mounted combat technique.<h5><b>Prerequisites: </b>Expert trainer class feature (Advanced Player's Guide 33), Ride 6 ranks.</h5><h5><b>Benefit: </b>Use your character level to determine your effective druid level for determining the powers and abilities of your mount.</h5><h5><b>Normal: </b>You use your cavalier level to determine your effective druid level for determining the powers and abilities of your mount.</h5></div>",0,0,0,0,0,0,0,,,,,0,,Ride 6,0,0,0,0,0,0,0
463,Impact Critical Shot,Combat,"With a series of ranged attacks, you bring your foes to their knees or force them to move.","Dex 13, Point-Blank Shot, base attack bonus +9.",Point-Blank Shot,"Whenever you score a critical hit with a ranged attack, in addition to the normal damage your attack deals, if your confirmation roll exceeds your opponent's CMD, you can push your opponent back as if from the bull rush combat maneuver or knock that target prone as if from a trip combat maneuver. If you choose to bull rush, you cannot move with the target. Your maneuver does not provoke an attack of opportunity.","You must perform a bull rush combat maneuver to bull rush an opponent, and you must perform a trip combat maneuver to trip an opponent.",,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Impact Critical Shot (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>With a series of ranged attacks, you bring your foes to their knees or force them to move.<h5><b>Prerequisites: </b>Dex 13, Point-Blank Shot, base attack bonus +9.</h5><h5><b>Benefit: </b>Whenever you score a critical hit with a ranged attack, in addition to the normal damage your attack deals, if your confirmation roll exceeds your opponent's CMD, you can push your opponent back as if from the bull rush combat maneuver or knock that target prone as if from a trip combat maneuver. If you choose to bull rush, you cannot move with the target. Your maneuver does not provoke an attack of opportunity.</h5><h5><b>Normal: </b>You must perform a bull rush combat maneuver to bull rush an opponent, and you must perform a trip combat maneuver to trip an opponent.</h5></div>",0,1,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
464,Impaling Critical,Combat,Your critical hits can skewer your foes.,"Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +11.","Critical Focus, Weapon Specialization","Whenever you score a critical hit with the selected piercing melee weapon, you can impale your opponent on your weapon. While your opponent is impaled in this way, each time he starts his turn, you deal damage equal to your weapon's damage dice plus the extra damage dice from your weapon's properties. As an immediate action, you can pull your weapon out of your opponent. If your opponent is ever outside your reach, you must spend a free action to let go of your weapon or pull it out of him. Your opponent can also spend a move action to pull your weapon out. When the weapon comes out, your opponent takes damage as if starting his turn impaled. While you impale your opponent with your weapon, you cannot use it to attack, and you must hold on to it.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Impaling Critical (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>Your critical hits can skewer your foes.<h5><b>Prerequisites: </b>Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +11.</h5><h5><b>Benefit: </b>Whenever you score a critical hit with the selected piercing melee weapon, you can impale your opponent on your weapon. While your opponent is impaled in this way, each time he starts his turn, you deal damage equal to your weapon's damage dice plus the extra damage dice from your weapon's properties. As an immediate action, you can pull your weapon out of your opponent. If your opponent is ever outside your reach, you must spend a free action to let go of your weapon or pull it out of him. Your opponent can also spend a move action to pull your weapon out. When the weapon comes out, your opponent takes damage as if starting his turn impaled. While you impale your opponent with your weapon, you cannot use it to attack, and you must hold on to it.</h5></div>",0,1,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
465,Improved Back to Back,General,"After much practice, you and an ally have become adept at fighting in close proximity to one another.","Back to Back, Perception 5 ranks.",Back to Back,"While you are adjacent to an ally who is flanked and also has this feat, you can spend a swift action to gain a +2 bonus to AC against all flankers until the start of your next turn.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Back to Back (Teamwork)</p><div style=""clear: both;""></div></div><div><h5>After much practice, you and an ally have become adept at fighting in close proximity to one another.<h5><b>Prerequisites: </b>Back to Back, Perception 5 ranks.</h5><h5><b>Benefit: </b>While you are adjacent to an ally who is flanked and also has this feat, you can spend a swift action to gain a +2 bonus to AC against all flankers until the start of your next turn.</h5></div>",1,0,0,0,0,0,0,,,,,0,,Perception 5,0,0,0,0,0,0,0
466,Improved Charging Hurler,Combat,Every muscle in your body adds its force to your thrown weapons.,"Charging Hurler, Point-Blank Shot.","Charging Hurler, Point-Blank Shot","When you use Charging Hurler, your target can be at any range up to your weapon's maximum range. If your target is within 30 feet, you gain a +2 bonus on damage rolls.",Using Charging Hurler requires you to end your movement within 30 feet of your opponent.,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Charging Hurler (Combat)</p><div style=""clear: both;""></div></div><div><h5>Every muscle in your body adds its force to your thrown weapons.<h5><b>Prerequisites: </b>Charging Hurler, Point-Blank Shot.</h5><h5><b>Benefit: </b>When you use Charging Hurler, your target can be at any range up to your weapon's maximum range. If your target is within 30 feet, you gain a +2 bonus on damage rolls.</h5><h5><b>Normal: </b>Using Charging Hurler requires you to end your movement within 30 feet of your opponent.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
467,Improved Cleaving Finish,Combat,You can cut down many opponents in a single strike.,"Str 13, Cleave, Cleaving Finish, Great Cleave, Power Attack, base attack bonus +6.","Cleave, Cleaving Finish, Great Cleave, Power Attack",You can use Cleaving Finish any number of times per round.,,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Cleaving Finish (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can cut down many opponents in a single strike.<h5><b>Prerequisites: </b>Str 13, Cleave, Cleaving Finish, Great Cleave, Power Attack, base attack bonus +6.</h5><h5><b>Benefit: </b>You can use Cleaving Finish any number of times per round.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
468,Improved Devastating Strike,Combat,The fury and power channeled through your attack is enough to kill a lesser being outright.,"Devastating Strike, Vital Strike, base attack bonus +13.","Devastating Strike, Vital Strike","Whenever you use Vital Strike, Improved Vital Strike, or Greater Vital Strike, you gain a bonus on attack rolls to confirm a critical hit equal to the bonus on damage rolls you gain from Devastating Strike.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Devastating Strike (Combat)</p><div style=""clear: both;""></div></div><div><h5>The fury and power channeled through your attack is enough to kill a lesser being outright.<h5><b>Prerequisites: </b>Devastating Strike, Vital Strike, base attack bonus +13.</h5><h5><b>Benefit: </b>Whenever you use Vital Strike, Improved Vital Strike, or Greater Vital Strike, you gain a bonus on attack rolls to confirm a critical hit equal to the bonus on damage rolls you gain from Devastating Strike.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
469,Improved Feint Partner,Combat,Knowledge of your companions' tricks and techniques allow you to take even greater advantage of your allies' feints.,"Bluff 1 rank, Combat Reflexes, Feint Partner, base attack bonus +6.","Combat Reflexes, Feint Partner","Whenever an ally who also has this feat successfully feints against an opponent, that opponent provokes an attack of opportunity from you.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Feint Partner (Combat, Teamwork)</p><div style=""clear: both;""></div></div><div><h5>Knowledge of your companions' tricks and techniques allow you to take even greater advantage of your allies' feints.<h5><b>Prerequisites: </b>Bluff 1 rank, Combat Reflexes, Feint Partner, base attack bonus +6.</h5><h5><b>Benefit: </b>Whenever an ally who also has this feat successfully feints against an opponent, that opponent provokes an attack of opportunity from you.</h5></div>",1,0,0,0,0,0,0,,,,,0,,Bluff 1,0,0,0,0,0,0,0
470,Improved Impaling Critical,Combat,"When you impale a target, you hinder its movement and can cause severe bleeding.","Impaling Critical, Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +13.","Impaling Critical, Critical Focus, Weapon Specialization","While you are using Impaling Critical to impale an opponent, and you are still holding onto that weapon, that opponent must succeed at a grapple combat maneuver check against you to pull your weapon out. If you have let go of your weapon, the impaled opponent must spend a standard action to remove the weapon. Until the opponent pulls the weapon out, his speed in all modes is halved and his maneuverability, if any, is reduced by one step. When the weapon comes out, instead of dealing the damage normal for Impaling Critical, you can deal bleed damage equal to your weapon's damage dice result once per round at the start of that opponent's turn.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Impaling Critical (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>When you impale a target, you hinder its movement and can cause severe bleeding.<h5><b>Prerequisites: </b>Impaling Critical, Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +13.</h5><h5><b>Benefit: </b>While you are using Impaling Critical to impale an opponent, and you are still holding onto that weapon, that opponent must succeed at a grapple combat maneuver check against you to pull your weapon out. If you have let go of your weapon, the impaled opponent must spend a standard action to remove the weapon. Until the opponent pulls the weapon out, his speed in all modes is halved and his maneuverability, if any, is reduced by one step. When the weapon comes out, instead of dealing the damage normal for Impaling Critical, you can deal bleed damage equal to your weapon's damage dice result once per round at the start of that opponent's turn.</h5></div>",0,1,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
471,Improved Rending Fury,Combat,"Honing the deadliness of your claws, you are a living hurricane of rending fury.","Rending Fury, base attack bonus +9, rend special attack.",Rending Fury,"Whenever you successfully rend an opponent, you deal an extra 1d6 damage. This damage is not multiplied on a critical hit.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Rending Fury (Combat)</p><div style=""clear: both;""></div></div><div><h5>Honing the deadliness of your claws, you are a living hurricane of rending fury.<h5><b>Prerequisites: </b>Rending Fury, base attack bonus +9, rend special attack.</h5><h5><b>Benefit: </b>Whenever you successfully rend an opponent, you deal an extra 1d6 damage. This damage is not multiplied on a critical hit.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
472,Improved Snap Shot,Combat,"You can take advantage of your opponent's vulnerabilities from a greater distance, and without exposing yourself.","Dex 15, Point-Blank Shot, Rapid Shot, Snap Shot, Weapon Focus, base attack bonus +9.","Point-Blank Shot, Rapid Shot, Snap Shot, Weapon Focus",You threaten an additional 5 feet with Snap Shot.,Making a ranged attack provokes attacks of opportunity.,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Snap Shot (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can take advantage of your opponent's vulnerabilities from a greater distance, and without exposing yourself.<h5><b>Prerequisites: </b>Dex 15, Point-Blank Shot, Rapid Shot, Snap Shot, Weapon Focus, base attack bonus +9.</h5><h5><b>Benefit: </b>You threaten an additional 5 feet with Snap Shot.</h5><h5><b>Normal: </b>Making a ranged attack provokes attacks of opportunity.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
473,Improved Stalwart,General,You can roll with the punches while simultaneously striking back at your attackers.,"Diehard, Endurance, Stalwart, base attack bonus +11.","Diehard, Endurance, Stalwart","Double the DR you gain from Stalwart, to a maximum of DR 10/-.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Stalwart</p><div style=""clear: both;""></div></div><div><h5>You can roll with the punches while simultaneously striking back at your attackers.<h5><b>Prerequisites: </b>Diehard, Endurance, Stalwart, base attack bonus +11.</h5><h5><b>Benefit: </b>Double the DR you gain from Stalwart, to a maximum of DR 10/-.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
